Zadatak,Ulaz,Izlaz,Predviđen odgovor,Točan odgovor,Ispravno,Vrsta pitanja
11,"Ranko Marinković, Kiklop
Kad su stigli veterinarski stručnjaci iz urođeničkoga sela, agent je mirno pasao kao i sva ostala
grla. Ipak mu silom uguraše u ždrijelo slinave gvalje od nekakvih trava koje su najprije sažvakali u
svojim ustima i zatim mijesili među prstima pljujući u njih obilno. Agent se doduše davio od toga,
ali je ipak nastojao svim silama da posluša svoje dobronamjerne mučitelje: gutao je zelene kuglice
mučno kao kokoš. Oni su ga liječili. A on se odmah i ponadao: eto, liječe, znači... i smiješio im se s
prijaznom zahvalnošću.
– Što su to trpali u njega? – upita kapetan liječnika tonom šefa obitelji.
– Mislim, biljne purgative. Gospodina će to temeljito pročistiti. Ali čini se da to nije cijeli postupak.
Oni će mu još i zle duhove istjerati iz trbuha.
I doista, povalili su pacijenta na leđa i dok su ga četvorica držala za ruke i noge Veliki Vrač mu
je utaknuo bambusovu cjevčicu u duboko usaljeni pupak, zatim uzeo ugarak iz ruku svog asistenta
i živom žeravom stao šarati krugove oko bambusa po nabreklom agentovom trbuhu izgovarajući
obredne riječi na koje su njegovi pomoćnici odgovarali skandirajući neke druge riječi, vjerojatno u
ime demona koji, očito, nisu bez otpora napuštali utrobu našeg prijatelja. Agent je, razumije se, urlao
od boli, a to je Veliki Vrač primao sa zadovoljstvom, kao znak uspješnog rađanja na pupak.
Upravitelj stroja, koji je, čini se, bio najhumaniji i svakako najjači među bijelcima, učini pokret
kojim bi vjerojatno bio zadavio Velikoga Vrača da ga liječnik nije u pravi čas zaustavio.
– Zar ste poludjeli, gospodine!
– Pa dokle oni kane tako mučiti ovog čovjeka?
– Dok mu ne istjeraju i posljednjeg demona iz trbuha kroz onaj dimnjak na pupku.
Demoni bi navodno trebali pobjeći pred vatrom...
– Pa kada će to biti? – upita kapetan naivno, s laičkom radoznalošću.
– To pitajte njih – odgovori liječnik neprijazno.

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
11. Zašto su urođenici nazvani veterinarskim stručnjacima, a agent grlom?
A. da bi se naglasilo da su urođenici obrazovani
B. da bi se istaknula dehumanizacija
C. da bi se postigla ritmičnost teksta
D. da bi se ostvario stil basne

Ogovori samo s A,B,C ili D",B. da bi se istaknula dehumanizacija,B,B,TRUE,Književnost (uz polazni tekst)
12,"Ranko Marinković, Kiklop
Kad su stigli veterinarski stručnjaci iz urođeničkoga sela, agent je mirno pasao kao i sva ostala
grla. Ipak mu silom uguraše u ždrijelo slinave gvalje od nekakvih trava koje su najprije sažvakali u
svojim ustima i zatim mijesili među prstima pljujući u njih obilno. Agent se doduše davio od toga,
ali je ipak nastojao svim silama da posluša svoje dobronamjerne mučitelje: gutao je zelene kuglice
mučno kao kokoš. Oni su ga liječili. A on se odmah i ponadao: eto, liječe, znači... i smiješio im se s
prijaznom zahvalnošću.
– Što su to trpali u njega? – upita kapetan liječnika tonom šefa obitelji.
– Mislim, biljne purgative. Gospodina će to temeljito pročistiti. Ali čini se da to nije cijeli postupak.
Oni će mu još i zle duhove istjerati iz trbuha.
I doista, povalili su pacijenta na leđa i dok su ga četvorica držala za ruke i noge Veliki Vrač mu
je utaknuo bambusovu cjevčicu u duboko usaljeni pupak, zatim uzeo ugarak iz ruku svog asistenta
i živom žeravom stao šarati krugove oko bambusa po nabreklom agentovom trbuhu izgovarajući
obredne riječi na koje su njegovi pomoćnici odgovarali skandirajući neke druge riječi, vjerojatno u
ime demona koji, očito, nisu bez otpora napuštali utrobu našeg prijatelja. Agent je, razumije se, urlao
od boli, a to je Veliki Vrač primao sa zadovoljstvom, kao znak uspješnog rađanja na pupak.
Upravitelj stroja, koji je, čini se, bio najhumaniji i svakako najjači među bijelcima, učini pokret
kojim bi vjerojatno bio zadavio Velikoga Vrača da ga liječnik nije u pravi čas zaustavio.
– Zar ste poludjeli, gospodine!
– Pa dokle oni kane tako mučiti ovog čovjeka?
– Dok mu ne istjeraju i posljednjeg demona iz trbuha kroz onaj dimnjak na pupku.
Demoni bi navodno trebali pobjeći pred vatrom...
– Pa kada će to biti? – upita kapetan naivno, s laičkom radoznalošću.
– To pitajte njih – odgovori liječnik neprijazno.

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
12. Koji je od sljedećih likova htio prekinuti događaj kojemu svjedoči?
A. kapetan
B. liječnik
C. upravitelj stroja
D. Veliki Vrač

Ogovori samo s A,B,C ili D",C. Upravitelj stroja,C,C,TRUE,Književnost (uz polazni tekst)
13,"Jorge Luis Borges, Zaprepaštenje
Jedan susjed iz Moróna izvijestio me o slučaju:
„Nitko baš pravo ne zna zašto su se Moritán i Pardo Rivarola zavadili, i to tako žestoko. Obojica
su bili iz konzervativne stranke, a vjerujem da su se i upoznali u podružnici. Ne sjećam se Moritána
jer bijah još vrlo mlad kad je on umro. Kažu da mu je obitelj bila iz Entre Riosa. Pardo je poživio
još mnogo godina. Nije bio nikakav vođa niti nešto slično, ali je tako izgledao. Bio je prilično nizak i
težak i vrlo razmetljiv u oblačenju. Nijedan od dvojice ne bje mlitav, ali je Rivarola više razmišljao,
kako se kasnije i vidjelo. Odavno se bio zakleo da naudi Moritánu, ali je htio djelovati oprezno.
Opravdavam ga; ako nekoga ubiješ i zatim moraš ispaštati u zatvoru, postupio si budalasto. Pardo
je svoj plan dobro pripremio.
Bilo je oko sedam sati uvečer, jedne nedjelje. Trg je bio pun svijeta. Kao i uvijek, tu je bio
Rivarola, koji je polagano šetao, s karanfilom u zapučku i u crnom odijelu. Hodao je sa svojom
nećakinjom. U jednom je trenutku iznenada udalji od sebe, čučnu na pod i počne mahati rukama i
kukurikati kao da je pijetao. Ljudi se u strahu razmaknuše. Tako poštovani građanin kao Pardo, pa
da to čini pred očima i usprkos čitavom Morónu, i to još nedjeljom! Nakon stotinjak metara okrenu se
natrag i svejednako mašući i kukurikajući uđe u Moritánovu kuću. Gurnu vrata i jednim skokom nađe
se u dvorištu. Mnoštvo se okupilo na ulici. Moritán, začuvši buku, pojavi se na dnu dvorišta. Vidjevši
groznog neprijatelja kako nasrće, pokuša se uvući u kakvu sobu, ali jedan ga metak zahvati, a zatim
i drugi. Rivarolu su odvela dva stražara. Čovjek se odupirao, kukurikajući.
Nakon mjesec dana bio je na slobodi. Službeni liječnik proglasi da je bio žrtvom iznenadnog
napada ludila. Zar ga čitavo mjesto nije vidjelo kako se ponaša kao pijetao?”

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
13. Čije je zaprepaštenje prikazano?
A. ljudi na trgu
B. Moritánovo
C. Rivarolino
D. susjedovo

Ogovori samo s A,B,C ili D",A. ljudi na trgu,A,A,TRUE,Književnost (uz polazni tekst)
14,"Jorge Luis Borges, Zaprepaštenje
Jedan susjed iz Moróna izvijestio me o slučaju:
„Nitko baš pravo ne zna zašto su se Moritán i Pardo Rivarola zavadili, i to tako žestoko. Obojica
su bili iz konzervativne stranke, a vjerujem da su se i upoznali u podružnici. Ne sjećam se Moritána
jer bijah još vrlo mlad kad je on umro. Kažu da mu je obitelj bila iz Entre Riosa. Pardo je poživio
još mnogo godina. Nije bio nikakav vođa niti nešto slično, ali je tako izgledao. Bio je prilično nizak i
težak i vrlo razmetljiv u oblačenju. Nijedan od dvojice ne bje mlitav, ali je Rivarola više razmišljao,
kako se kasnije i vidjelo. Odavno se bio zakleo da naudi Moritánu, ali je htio djelovati oprezno.
Opravdavam ga; ako nekoga ubiješ i zatim moraš ispaštati u zatvoru, postupio si budalasto. Pardo
je svoj plan dobro pripremio.
Bilo je oko sedam sati uvečer, jedne nedjelje. Trg je bio pun svijeta. Kao i uvijek, tu je bio
Rivarola, koji je polagano šetao, s karanfilom u zapučku i u crnom odijelu. Hodao je sa svojom
nećakinjom. U jednom je trenutku iznenada udalji od sebe, čučnu na pod i počne mahati rukama i
kukurikati kao da je pijetao. Ljudi se u strahu razmaknuše. Tako poštovani građanin kao Pardo, pa
da to čini pred očima i usprkos čitavom Morónu, i to još nedjeljom! Nakon stotinjak metara okrenu se
natrag i svejednako mašući i kukurikajući uđe u Moritánovu kuću. Gurnu vrata i jednim skokom nađe
se u dvorištu. Mnoštvo se okupilo na ulici. Moritán, začuvši buku, pojavi se na dnu dvorišta. Vidjevši
groznog neprijatelja kako nasrće, pokuša se uvući u kakvu sobu, ali jedan ga metak zahvati, a zatim
i drugi. Rivarolu su odvela dva stražara. Čovjek se odupirao, kukurikajući.
Nakon mjesec dana bio je na slobodi. Službeni liječnik proglasi da je bio žrtvom iznenadnog
napada ludila. Zar ga čitavo mjesto nije vidjelo kako se ponaša kao pijetao?”

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
14. Što susjed iz Moróna opravdava?
A. ubojičino razmetljivo odijevanje
B. glumljeno Rivarolino ludilo
C. počinjeno ubojstvo
D. zatvorsku kaznu

Ogovori samo s A,B,C ili D",D. zatvorsku kaznu,D,B,FALSE,Književnost (uz polazni tekst)
15,"Jorge Luis Borges, Zaprepaštenje
Jedan susjed iz Moróna izvijestio me o slučaju:
„Nitko baš pravo ne zna zašto su se Moritán i Pardo Rivarola zavadili, i to tako žestoko. Obojica
su bili iz konzervativne stranke, a vjerujem da su se i upoznali u podružnici. Ne sjećam se Moritána
jer bijah još vrlo mlad kad je on umro. Kažu da mu je obitelj bila iz Entre Riosa. Pardo je poživio
još mnogo godina. Nije bio nikakav vođa niti nešto slično, ali je tako izgledao. Bio je prilično nizak i
težak i vrlo razmetljiv u oblačenju. Nijedan od dvojice ne bje mlitav, ali je Rivarola više razmišljao,
kako se kasnije i vidjelo. Odavno se bio zakleo da naudi Moritánu, ali je htio djelovati oprezno.
Opravdavam ga; ako nekoga ubiješ i zatim moraš ispaštati u zatvoru, postupio si budalasto. Pardo
je svoj plan dobro pripremio.
Bilo je oko sedam sati uvečer, jedne nedjelje. Trg je bio pun svijeta. Kao i uvijek, tu je bio
Rivarola, koji je polagano šetao, s karanfilom u zapučku i u crnom odijelu. Hodao je sa svojom
nećakinjom. U jednom je trenutku iznenada udalji od sebe, čučnu na pod i počne mahati rukama i
kukurikati kao da je pijetao. Ljudi se u strahu razmaknuše. Tako poštovani građanin kao Pardo, pa
da to čini pred očima i usprkos čitavom Morónu, i to još nedjeljom! Nakon stotinjak metara okrenu se
natrag i svejednako mašući i kukurikajući uđe u Moritánovu kuću. Gurnu vrata i jednim skokom nađe
se u dvorištu. Mnoštvo se okupilo na ulici. Moritán, začuvši buku, pojavi se na dnu dvorišta. Vidjevši
groznog neprijatelja kako nasrće, pokuša se uvući u kakvu sobu, ali jedan ga metak zahvati, a zatim
i drugi. Rivarolu su odvela dva stražara. Čovjek se odupirao, kukurikajući.
Nakon mjesec dana bio je na slobodi. Službeni liječnik proglasi da je bio žrtvom iznenadnog
napada ludila. Zar ga čitavo mjesto nije vidjelo kako se ponaša kao pijetao?”

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
15. Kojim se postupkom postiže vjerodostojnost prikaza događaja?
A. detaljnim opisom lika
B. kronološkim pripovijedanjem
C. uvođenjem lika susjeda
D. završnim retoričkim pitanjem

Ogovori samo s A,B,C ili D",B. kronološkim pripovijedanjem,B,C,FALSE,Književnost (uz polazni tekst)
16,"Sofoklo, Antigona
Kreont
A što je? Kako riječ me tvoja prepala!
Tiresija
Pa znat ćeš kad umijeća moga čuješ znak.
Na mjestu kad sam starom, ptica motrištu,
Gdje svaka dolijeće mi ptica, sjedio,
Glas ptičji nepoznat mi čujem, ljutome
U bijesu, divljoj graji one kreštahu.
Razabrah: jedna drugu čupa pandžama
I kolje; klepet krila jasno čuo se.
U strahu odmah htjedoh žrtvu prinijeti
Na zapaljenu žrtveniku, ali plamen se
Te žrtve paljenice nije primao:
Po pepelu se mast od bedra cijedila,
Razlijevala i dimila; tad prsne žuč
I uvis šikne, a salo se topilo
Što bedrenu je svuda kost omatalo.
Od ovog sam dječaka tako doznao
Za gatanje da žrtva znaka nè daje;
Jer meni on je vodič a ja drugima.
A to zbog tvoje volje boluje nam grad.
Ta svi su žrtvenici i sva ognjišta
Sad ptičje a i pseće hrane prepuni
Od Edipova sina, palog jadnika.
Pa onda bozi žrtvene već molitve
Ne primaju nit’ plamena od žrtava.
Nit’ krešti ptica dobrokobno òkusiv
Te masne krvi poginula čovjeka.
To, dakle, sinko, drži sad na pameti!
Ta griješiti je prirođeno ljudima;
Al’ sagriješi li tko, on više čovjek lud
Ni nesretan bit neće ako liječi se
I nije uporan kad ù zlo zàbrazdi.
Tvrdoglavost je isto što i bezumlje.
Ti pusti mrtvog, ne muči poginula!
Zar podvig je još jednom ubit mrtvoga?
U dobroj zborim namjeri: poslušati
Riječ dobrohotnu dobitak je najveći

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
16. Koja je uloga Tiresijina obraćanja Kreontu?
A. uvjeriti Kreonta u to da je njegova odluka neispravna
B. objasniti Kreontu zašto bogovi nisu primili žrtvu
C. navesti Kreontove nepromišljene postupke
D. opravdati Kreontovo ponašanje

Ogovori samo s A,B,C ili D",A. uvjeriti Kreonta u to da je njegova odluka neispravna.,A,A,TRUE,Književnost (uz polazni tekst)
17,"Sofoklo, Antigona
Kreont
A što je? Kako riječ me tvoja prepala!
Tiresija
Pa znat ćeš kad umijeća moga čuješ znak.
Na mjestu kad sam starom, ptica motrištu,
Gdje svaka dolijeće mi ptica, sjedio,
Glas ptičji nepoznat mi čujem, ljutome
U bijesu, divljoj graji one kreštahu.
Razabrah: jedna drugu čupa pandžama
I kolje; klepet krila jasno čuo se.
U strahu odmah htjedoh žrtvu prinijeti
Na zapaljenu žrtveniku, ali plamen se
Te žrtve paljenice nije primao:
Po pepelu se mast od bedra cijedila,
Razlijevala i dimila; tad prsne žuč
I uvis šikne, a salo se topilo
Što bedrenu je svuda kost omatalo.
Od ovog sam dječaka tako doznao
Za gatanje da žrtva znaka nè daje;
Jer meni on je vodič a ja drugima.
A to zbog tvoje volje boluje nam grad.
Ta svi su žrtvenici i sva ognjišta
Sad ptičje a i pseće hrane prepuni
Od Edipova sina, palog jadnika.
Pa onda bozi žrtvene već molitve
Ne primaju nit’ plamena od žrtava.
Nit’ krešti ptica dobrokobno òkusiv
Te masne krvi poginula čovjeka.
To, dakle, sinko, drži sad na pameti!
Ta griješiti je prirođeno ljudima;
Al’ sagriješi li tko, on više čovjek lud
Ni nesretan bit neće ako liječi se
I nije uporan kad ù zlo zàbrazdi.
Tvrdoglavost je isto što i bezumlje.
Ti pusti mrtvog, ne muči poginula!
Zar podvig je još jednom ubit mrtvoga?
U dobroj zborim namjeri: poslušati
Riječ dobrohotnu dobitak je najveći

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
17. O kojemu svojem umijeću govori Tiresija u sljedećoj rečenici?
Pa znat ćeš kad umijeća moga čuješ znak.
A. o proricanju budućih događaja
B. o komunikaciji s mrtvima
C. o žrtvovanju životinja
D. o uzgoju ptica

Ogovori samo s A,B,C ili D",A. o proricanju budućih događaja,A,A,TRUE,Književnost (uz polazni tekst)
18,"Sofoklo, Antigona
Kreont
A što je? Kako riječ me tvoja prepala!
Tiresija
Pa znat ćeš kad umijeća moga čuješ znak.
Na mjestu kad sam starom, ptica motrištu,
Gdje svaka dolijeće mi ptica, sjedio,
Glas ptičji nepoznat mi čujem, ljutome
U bijesu, divljoj graji one kreštahu.
Razabrah: jedna drugu čupa pandžama
I kolje; klepet krila jasno čuo se.
U strahu odmah htjedoh žrtvu prinijeti
Na zapaljenu žrtveniku, ali plamen se
Te žrtve paljenice nije primao:
Po pepelu se mast od bedra cijedila,
Razlijevala i dimila; tad prsne žuč
I uvis šikne, a salo se topilo
Što bedrenu je svuda kost omatalo.
Od ovog sam dječaka tako doznao
Za gatanje da žrtva znaka nè daje;
Jer meni on je vodič a ja drugima.
A to zbog tvoje volje boluje nam grad.
Ta svi su žrtvenici i sva ognjišta
Sad ptičje a i pseće hrane prepuni
Od Edipova sina, palog jadnika.
Pa onda bozi žrtvene već molitve
Ne primaju nit’ plamena od žrtava.
Nit’ krešti ptica dobrokobno òkusiv
Te masne krvi poginula čovjeka.
To, dakle, sinko, drži sad na pameti!
Ta griješiti je prirođeno ljudima;
Al’ sagriješi li tko, on više čovjek lud
Ni nesretan bit neće ako liječi se
I nije uporan kad ù zlo zàbrazdi.
Tvrdoglavost je isto što i bezumlje.
Ti pusti mrtvog, ne muči poginula!
Zar podvig je još jednom ubit mrtvoga?
U dobroj zborim namjeri: poslušati
Riječ dobrohotnu dobitak je najveći

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
18. Koga Tiresija naziva palim jadnikom?
A. Eteokla
B. Hemona
C. Kreonta
D. Polinika

Ogovori samo s A,B,C ili D",D. Polinika,D,D,TRUE,Književnost (uz polazni tekst)
19,"Calderón de la Barca, Život je san
(Otvaraju se vrata i ukazuje se Sigismund,
okovan u lance i obučen u kožuh.
U kuli je svjetlo.)
SIGISMUND (iznutra)
Jao meni, nesretniku!
Kad me bijes vaš tako slama,
o nebesa, znati hoću,
rodivši se kakvu zloću
ja pokazah prema vama?
No već time što sam rođen,
znam kakvim sam zlom pogođen.
Zato dobar razlog vodi
vašu strogost – moram reći –
jer čovjekov grijeh najveći
u tome je što se rodi.
Jedina su moja htijenja,
o nebesa: zbog svog mira
želim znati (bez obzira
na taj zločin mog rođenja)
da l’ još čime vas uvrijedih,
te me takva kazna slijedi?
Jer i drugi rođeni su
kao i ja – to svi znate –
pa ih mnoga dobra prate,
koja meni dana nisu.
Ptić u gnijezdu se izvali
i čim bude pun biserja,
šaren kao cvijet od perja
i krilati buket mali,
odmah leti leta laka
kroz odaje bistra zraka
i ostavlja blagostanje
svoga gnijezda u stablima,
a ja više duše imam,
no slobode mnogo manje.
Zvijer se rodi: kožu čistu
čim joj ospu pjege divne
što se kao zvijezde čine
(zahvaljujuć umnom kistu),
po nagonu svom je ona
već opasna i smiona
i, okrutna prema svima,
po svom labirintu hara,
a ja, s mnogo više dara,
ja slobode manje imam.
(...)
Kad me prožme jad taj hudi,
kao vulkan gorim cio
i srce bih svoje htio
iščupati van iz grudi.
Tko i zašto tako sudi
i otima ovdje nama
naša ljudska prava sama,
povlastice i nagrade
što ih nebo vodi dade,
ptici, zvijeri i ribama?
ROSAURA
Njegove riječi u meni su
strah i samilost izazvale.
SIGISMUND
Tko je slušao moje riječi?
Je li Klotaldo?

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
19. Koja je od sljedećih tvrdnja o Sigismundu točna?
A. Želi se osvetiti za nanesenu nepravdu.
B. Nastoji izazvati samilost sugovornika.
C. Očajan je zbog svojega položaja.
D. Planira pobjeći iz kule.

Ogovori samo s A,B,C ili D",C. Očajan je zbog svojega položaja.,C,C,TRUE,Književnost (uz polazni tekst)
20,"Calderón de la Barca, Život je san
(Otvaraju se vrata i ukazuje se Sigismund,
okovan u lance i obučen u kožuh.
U kuli je svjetlo.)
SIGISMUND (iznutra)
Jao meni, nesretniku!
Kad me bijes vaš tako slama,
o nebesa, znati hoću,
rodivši se kakvu zloću
ja pokazah prema vama?
No već time što sam rođen,
znam kakvim sam zlom pogođen.
Zato dobar razlog vodi
vašu strogost – moram reći –
jer čovjekov grijeh najveći
u tome je što se rodi.
Jedina su moja htijenja,
o nebesa: zbog svog mira
želim znati (bez obzira
na taj zločin mog rođenja)
da l’ još čime vas uvrijedih,
te me takva kazna slijedi?
Jer i drugi rođeni su
kao i ja – to svi znate –
pa ih mnoga dobra prate,
koja meni dana nisu.
Ptić u gnijezdu se izvali
i čim bude pun biserja,
šaren kao cvijet od perja
i krilati buket mali,
odmah leti leta laka
kroz odaje bistra zraka
i ostavlja blagostanje
svoga gnijezda u stablima,
a ja više duše imam,
no slobode mnogo manje.
Zvijer se rodi: kožu čistu
čim joj ospu pjege divne
što se kao zvijezde čine
(zahvaljujuć umnom kistu),
po nagonu svom je ona
već opasna i smiona
i, okrutna prema svima,
po svom labirintu hara,
a ja, s mnogo više dara,
ja slobode manje imam.
(...)
Kad me prožme jad taj hudi,
kao vulkan gorim cio
i srce bih svoje htio
iščupati van iz grudi.
Tko i zašto tako sudi
i otima ovdje nama
naša ljudska prava sama,
povlastice i nagrade
što ih nebo vodi dade,
ptici, zvijeri i ribama?
ROSAURA
Njegove riječi u meni su
strah i samilost izazvale.
SIGISMUND
Tko je slušao moje riječi?
Je li Klotaldo?

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
20. Na kojoj je antitezi utemeljen Sigismundov monolog?
A. dobro – zlo
B. privid – stvarnost
C. rođenje – smrt
D. ropstvo – sloboda

Ogovori samo s A,B,C ili D",D. ropstvo - sloboda,D,D,TRUE,Književnost (uz polazni tekst)
21,"Calderón de la Barca, Život je san
(Otvaraju se vrata i ukazuje se Sigismund,
okovan u lance i obučen u kožuh.
U kuli je svjetlo.)
SIGISMUND (iznutra)
Jao meni, nesretniku!
Kad me bijes vaš tako slama,
o nebesa, znati hoću,
rodivši se kakvu zloću
ja pokazah prema vama?
No već time što sam rođen,
znam kakvim sam zlom pogođen.
Zato dobar razlog vodi
vašu strogost – moram reći –
jer čovjekov grijeh najveći
u tome je što se rodi.
Jedina su moja htijenja,
o nebesa: zbog svog mira
želim znati (bez obzira
na taj zločin mog rođenja)
da l’ još čime vas uvrijedih,
te me takva kazna slijedi?
Jer i drugi rođeni su
kao i ja – to svi znate –
pa ih mnoga dobra prate,
koja meni dana nisu.
Ptić u gnijezdu se izvali
i čim bude pun biserja,
šaren kao cvijet od perja
i krilati buket mali,
odmah leti leta laka
kroz odaje bistra zraka
i ostavlja blagostanje
svoga gnijezda u stablima,
a ja više duše imam,
no slobode mnogo manje.
Zvijer se rodi: kožu čistu
čim joj ospu pjege divne
što se kao zvijezde čine
(zahvaljujuć umnom kistu),
po nagonu svom je ona
već opasna i smiona
i, okrutna prema svima,
po svom labirintu hara,
a ja, s mnogo više dara,
ja slobode manje imam.
(...)
Kad me prožme jad taj hudi,
kao vulkan gorim cio
i srce bih svoje htio
iščupati van iz grudi.
Tko i zašto tako sudi
i otima ovdje nama
naša ljudska prava sama,
povlastice i nagrade
što ih nebo vodi dade,
ptici, zvijeri i ribama?
ROSAURA
Njegove riječi u meni su
strah i samilost izazvale.
SIGISMUND
Tko je slušao moje riječi?
Je li Klotaldo?

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
21. Tko je kriv za Sigismundovo trenutačno stanje?
A. Astolfo
B. Bazilije
C. Klotaldo
D. Rosaura

Ogovori samo s A,B,C ili D",D. Rosaura,D,B,FALSE,Književnost (uz polazni tekst)
22,"Viktor Žmegač, Nadrealisti i kravate
NADREALISTI I KRAVATE. Sa starih crno-bijelih ili smećkastih fotografija gleda nas povijest.
Kad nas motre umjetnici, stvara se dodatna kulturnopovijesna vrijednost. Preda mnom je jedna
od skupnih fotografija istaknutih dadaista i nadrealista iz sredine dvadesetih godina. U prvom redu
sjede ličnosti koje ne treba predstaviti: Tristan Tzara, André Breton, Salvador Dalí, Max Ernst, Man
Ray. Svojim su djelima među najradikalnijim modernistima dvadesetoga stoljeća. No fotografija to
nimalo ne pokazuje. Danas smo navikli na to da se avangardni signali moraju očitovati i u odjeći.
Ako je umjetniku stalo do sebe, mora biti čupav, razdrljen, u što starijim trapericama i puloveru
koji je njegovano prljav, po mogućnosti na dva-tri mjesta propaljen cigaretom. U naše vrijeme
to je standard, a svakako više nije provokacija. Prije osamdesetak godina likovni i tekstualni
izazovi bili su nezapamćeno žestoki, ali djela bila su jedno, a odijevanje drugo. Antigrađanski
nasrtaji bili su u slikama i riječima koje su dolazile iz ruku autora pomno građanski obučenih. Čak
ni dadaistička ulična događanja u prvim godinama poslije rata nisu bila bez izglačanih odijela,
kravate ili leptirmašne. Takva je i fotografija. Svi imaju uredne košulje i decentne kravate, svi su
uz suzdržan smiješak uprli oči u kameru, kao da će izletjeti ptičica. I Man Ray ne drži se drukčije,
jedan od najvećih umjetničkih fotografa stoljeća. Tada svakako još nije postojala uniformnost
vanjskih i unutarnjih crta ličnosti. Zanimljivo je protuslovlje u današnjoj epohi, koja od umjetnika
očekuje klaunsku odjeću, naušnice i nanosnice, ali ne uočava da je umjetnost postala repetitivna.
Gospoda s kravatama i sakoima (a ne s ribarskim jaknama) rušili su estetske konvencije stare i po
petsto godina, i to sa štropotom. Danas su se posljednji trzaji provokacije preselili u ekstravagancije
vanjske pojave.

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
22. Koja je od sljedećih tvrdnja o avangardistima s fotografije točna?
A. Avangardnom su odjećom ukazivali na modernost svojih djela.
B. Njihova je provokativnost proizlazila iz djela koja su stvarali.
C. Svojim su izgledom željeli zainteresirati gledatelje.
D. Njihova je umjetnost bila uniformirana.

Ogovori samo s A,B,C ili D",B. Njihova je provokativnost proizlazila iz djela koja su stvarali.,B,B,TRUE,Književnost (uz polazni tekst)
23,"Viktor Žmegač, Nadrealisti i kravate
NADREALISTI I KRAVATE. Sa starih crno-bijelih ili smećkastih fotografija gleda nas povijest.
Kad nas motre umjetnici, stvara se dodatna kulturnopovijesna vrijednost. Preda mnom je jedna
od skupnih fotografija istaknutih dadaista i nadrealista iz sredine dvadesetih godina. U prvom redu
sjede ličnosti koje ne treba predstaviti: Tristan Tzara, André Breton, Salvador Dalí, Max Ernst, Man
Ray. Svojim su djelima među najradikalnijim modernistima dvadesetoga stoljeća. No fotografija to
nimalo ne pokazuje. Danas smo navikli na to da se avangardni signali moraju očitovati i u odjeći.
Ako je umjetniku stalo do sebe, mora biti čupav, razdrljen, u što starijim trapericama i puloveru
koji je njegovano prljav, po mogućnosti na dva-tri mjesta propaljen cigaretom. U naše vrijeme
to je standard, a svakako više nije provokacija. Prije osamdesetak godina likovni i tekstualni
izazovi bili su nezapamćeno žestoki, ali djela bila su jedno, a odijevanje drugo. Antigrađanski
nasrtaji bili su u slikama i riječima koje su dolazile iz ruku autora pomno građanski obučenih. Čak
ni dadaistička ulična događanja u prvim godinama poslije rata nisu bila bez izglačanih odijela,
kravate ili leptirmašne. Takva je i fotografija. Svi imaju uredne košulje i decentne kravate, svi su
uz suzdržan smiješak uprli oči u kameru, kao da će izletjeti ptičica. I Man Ray ne drži se drukčije,
jedan od najvećih umjetničkih fotografa stoljeća. Tada svakako još nije postojala uniformnost
vanjskih i unutarnjih crta ličnosti. Zanimljivo je protuslovlje u današnjoj epohi, koja od umjetnika
očekuje klaunsku odjeću, naušnice i nanosnice, ali ne uočava da je umjetnost postala repetitivna.
Gospoda s kravatama i sakoima (a ne s ribarskim jaknama) rušili su estetske konvencije stare i po
petsto godina, i to sa štropotom. Danas su se posljednji trzaji provokacije preselili u ekstravagancije
vanjske pojave.

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
23. Zašto avangardiste s fotografije ne treba predstaviti?
A. jer njihova umjetnost pripada prošlosti
B. jer ih fotografija dovoljno prikazuje
C. jer su nevažni za temu eseja
D. jer su vrlo poznati

Ogovori samo s A,B,C ili D",D. jer su vrlo poznati.,D,D,TRUE,Književnost (uz polazni tekst)
